"word","frequency"
"john",24724
"obama",22626
"york",22312
"party",19076
"national",18530
"american",17623
"act",17135
"george",16810
"war",16730
"bush",16624
"iraq",15767
"barack",14840
"u.s.",14659
"times",13803
"department",13389
"state",13284
"house",13261
"university",12285
"street",12170
"bill",12054
"court",11949
"republican",11388
"security",11002
"clinton",10680
"wall",10599
"california",10508
"committee",10297
"world",10234
"south",9832
"america",9607
"democratic",9578
"supreme",9401
"post",9377
"center",9361
"paul",9305
"david",9187
"justice",8916
"washington",8900
"afghanistan",8890
"senate",8616
"gop",8340
"mccain",7824
"news",7693
"east",7593
"united",7458
"city",7304
"north",7190
"robert",7187
"reagan",7087
"tea",6975
"kennedy",6918
"administration",6710
"middle",6700
"rights",6695
"west",6688
"texas",6611
"union",6606
"romney",6419
"iran",6364
"michael",6301
"joe",6272
"king",6240
"day",6147
"social",6062
"china",5940
"florida",5894
"christian",5877
"council",5868
"african",5822
"health",5763
"hillary",5723
"international",5662
"richard",5595
"mitt",5519
"institute",5493
"medicare",5457
"defense",5382
"great",5374
"federal",5346
"james",5326
"israel",5295
"europe",5067
"sarah",5052
"chris",4877
"fox",4849
"vietnam",4849
"office",4840
"association",4798
"senator",4714
"virginia",4665
"carolina",4643
"martin",4612
"palin",4606
"general",4604
"school",4512
"civil",4477
"public",4434
"jewish",4422
"european",4404
"tom",4397
